[2017-11-14 22:28:08,439]  INFO: Запуск сервера localhost:8000
[2017-11-14 22:28:41,787]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-14 22:32:02,790]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-14 22:32:11,289]  INFO: Выключение сервера 
 ---------------- 


[2017-11-15 22:21:10,956]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:21:19,173]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:23:57,028]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:24:56,659]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:24:56,689]  INFO: 127.0.0.1:59815 Запрос на подключение
[2017-11-15 22:25:35,415]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:25:35,425]  INFO: 127.0.0.1:59824 Запрос на подключение
[2017-11-15 22:25:58,191]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:26:02,098]  INFO: 127.0.0.1:59837 Запрос на подключение
[2017-11-15 22:30:09,584]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:30:09,596]  INFO: 127.0.0.1:59937 Запрос на подключение
[2017-11-15 22:34:04,557]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:34:04,569]  INFO: 127.0.0.1:59973 Запрос на подключение
[2017-11-15 22:37:27,369]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:37:27,388]  INFO: 127.0.0.1:60086 Запрос на подключение
[2017-11-15 22:37:58,827]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:37:58,837]  INFO: 127.0.0.1:60116 Запрос на подключение
[2017-11-15 22:38:48,194]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:38:48,205]  INFO: 127.0.0.1:60124 Запрос на подключение
[2017-11-15 22:40:17,469]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:40:17,480]  INFO: 127.0.0.1:60144 Запрос на подключение
[2017-11-15 22:40:27,168]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:40:56,243]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:40:56,252]  INFO: 127.0.0.1:60155 Запрос на подключение
[2017-11-15 22:48:19,773]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:48:19,790]  INFO: 127.0.0.1:60201 Запрос на подключение
[2017-11-15 22:48:30,088]  INFO: Запуск сервера 0.0.0.0:8000
[2017-11-15 22:48:30,098]  INFO: 127.0.0.1:60204 Запрос на подключение
[2017-11-15 22:48:41,304]  INFO: 127.0.0.1:60204 Отключился
[2017-11-15 22:48:47,179]  INFO: Запуск сервера 0.0.0.0:8000
